City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
89,Airai,TL,2022-01-30 18:21:43,-8.9266,125.4092,61.36,94,96,3.67,overcast clouds
90,Padang,ID,2022-01-30 18:21:44,-0.9492,100.3543,75.25,92,100,3.49,overcast clouds
91,Rio Gallegos,AR,2022-01-30 18:21:45,-51.6226,-69.2181,57.25,33,40,33.38,scattered clouds
92,Sao Filipe,CV,2022-01-30 18:21:45,14.8961,-24.4956,71.82,70,100,15.59,overcast clouds
93,Arraial Do Cabo,BR,2022-01-30 18:21:46,-22.9661,-42.0278,89.56,58,40,8.05,scattered clouds
94,Rio Branco,BR,2022-01-30 18:21:47,-9.9747,-67.81,77.61,88,75,2.3,broken clouds
95,Asau,RO,2022-01-30 18:21:47,46.4333,26.4,38.95,66,40,17.69,scattered clouds
96,Evensk,RU,2022-01-30 18:21:48,61.95,159.2333,18.41,83,100,25.97,light snow
97,Saint George,US,2022-01-30 18:21:49,37.1041,-113.5841,55.35,28,0,1.99,clear sky
98,Atar,MR,2022-01-30 18:21:50,20.5169,-13.0499,86.05,19,100,9.22,overcast clouds
99,Kruisfontein,ZA,2022-01-30 18:21:50,-34.0033,24.7314,73.89,82,82,14.38,broken clouds
100,Tuktoyaktuk,CA,2022-01-30 18:19:17,69.4541,-133.0374,-2.2,78,100,19.57,light snow
101,Mitsamiouli,KM,2022-01-30 18:21:52,-11.3847,43.2844,82.69,69,40,4.61,scattered clouds
102,Narsaq,GL,2022-01-30 18:21:52,60.9167,-46.05,12.42,63,100,8.3,light snow
103,Fairbanks,US,2022-01-30 18:18:39,64.8378,-147.7164,-26.01,71,40,0.0,scattered clouds
104,Tuatapere,NZ,2022-01-30 18:21:53,-46.1333,167.6833,58.82,95,49,2.48,scattered clouds
105,Muroran,JP,2022-01-30 18:21:54,42.3172,140.9881,21.31,68,98,20.33,light snow
106,Mogadishu,SO,2022-01-30 18:18:43,2.0371,45.3438,77.54,83,46,21.3,scattered clouds
107,Bluff,NZ,2022-01-30 18:21:43,-46.6,168.3333,58.8,92,87,3.58,overcast clouds
108,Rundu,NA,2022-01-30 18:21:56,-17.9333,19.7667,67.87,90,99,3.49,light rain
109,Sao Joao Da Barra,BR,2022-01-30 18:21:56,-21.6403,-41.0511,87.89,73,61,8.5,broken clouds
110,Les Cayes,HT,2022-01-30 18:21:57,18.2,-73.75,85.51,52,12,8.16,few clouds
111,Chuy,UY,2022-01-30 18:21:58,-33.6971,-53.4616,79.32,54,98,12.62,overcast clouds
112,Shizilu,CN,2022-01-30 18:21:58,35.1711,118.8289,30.67,64,6,6.11,clear sky
113,Tateyama,JP,2022-01-30 18:21:59,34.9833,139.8667,40.93,42,75,18.41,broken clouds
114,Khash,IR,2022-01-30 18:22:00,28.2211,61.2158,52.5,55,0,4.63,clear sky
115,Inhambane,MZ,2022-01-30 18:22:01,-23.865,35.3833,76.98,78,20,4.61,few clouds
116,Mount Gambier,AU,2022-01-30 18:22:02,-37.8333,140.7667,62.51,94,100,6.91,overcast clouds
117,Seoul,KR,2022-01-30 18:20:00,37.5683,126.9778,20.64,73,0,1.14,clear sky
118,Simao,CN,2022-01-30 18:22:03,22.7886,100.9748,46.67,61,0,2.42,clear sky
119,San Andres,CO,2022-01-30 18:22:04,12.5847,-81.7006,84.22,65,20,9.22,few clouds
120,Constantine,DZ,2022-01-30 18:22:04,36.365,6.6147,45.81,57,0,6.91,clear sky
121,Charters Towers,AU,2022-01-30 18:22:05,-20.1,146.2667,73.53,82,3,5.14,clear sky
122,Ancud,CL,2022-01-30 18:22:06,-41.8697,-73.8203,63.43,56,39,11.43,scattered clouds
123,Poum,NC,2022-01-30 18:22:06,-20.2333,164.0167,79.7,79,99,7.94,overcast clouds
124,Mahebourg,MU,2022-01-30 18:22:08,-20.4081,57.7,80.89,83,75,8.05,broken clouds
125,Firminy,FR,2022-01-30 18:22:08,45.3873,4.2907,40.15,87,100,2.3,overcast clouds
126,Pisco,PE,2022-01-30 18:22:09,-13.7,-76.2167,74.01,68,0,10.36,clear sky
127,Urubicha,BO,2022-01-30 18:22:10,-15.3833,-62.95,85.64,62,31,4.14,scattered clouds
128,Prince Rupert,CA,2022-01-30 18:20:58,54.3161,-130.3201,38.89,93,100,6.91,overcast clouds
129,Yellowknife,CA,2022-01-30 18:22:11,62.456,-114.3525,-12.48,77,100,8.05,light snow
130,Butaritari,KI,2022-01-30 18:22:12,3.0707,172.7902,81.75,77,64,21.74,light rain
131,Omboue,GA,2022-01-30 18:22:12,-1.5746,9.2618,79.25,79,100,4.36,overcast clouds
132,Salalah,OM,2022-01-30 18:21:48,17.0151,54.0924,75.29,69,0,3.44,clear sky
133,Evanston,US,2022-01-30 18:21:01,42.0411,-87.6901,31.1,73,100,3.0,overcast clouds
134,Souillac,MU,2022-01-30 18:22:14,-20.5167,57.5167,80.98,83,75,8.05,light rain
135,Pombia,IT,2022-01-30 18:22:15,45.653,8.6336,53.47,62,0,4.61,clear sky
136,Lunenburg,CA,2022-01-30 18:20:02,44.3835,-64.3155,25.21,67,94,25.32,overcast clouds
137,Albenga,IT,2022-01-30 18:22:16,44.0529,8.216,55.35,82,75,1.01,broken clouds
138,Gimli,CA,2022-01-30 18:22:17,50.6336,-96.9907,12.13,72,100,12.66,overcast clouds
139,Thompson,CA,2022-01-30 18:22:17,55.7435,-97.8558,3.36,78,20,4.61,few clouds
140,Nantucket,US,2022-01-30 18:20:16,41.2835,-70.0995,23.11,59,0,13.8,clear sky
141,Den Helder,NL,2022-01-30 18:22:19,52.9599,4.7593,43.02,73,75,8.01,broken clouds
142,Mayumba,GA,2022-01-30 18:22:20,-3.432,10.6554,78.53,85,91,5.37,overcast clouds
143,Gniezno,PL,2022-01-30 18:22:21,52.5348,17.5826,41.72,62,81,25.28,broken clouds
144,Gondal,IN,2022-01-30 18:22:21,21.9667,70.8,65.57,42,0,7.45,clear sky
145,Nata,PA,2022-01-30 18:22:23,8.3333,-80.5167,89.47,40,11,20.6,few clouds
146,Margate,GB,2022-01-30 18:22:23,51.3813,1.3862,42.69,77,93,4.0,overcast clouds
147,Georgetown,MY,2022-01-30 18:21:52,5.4112,100.3354,82.89,88,20,0.0,few clouds
148,Sao Jose Da Coroa Grande,BR,2022-01-30 18:22:24,-8.8978,-35.1478,82.85,70,85,9.69,overcast clouds
149,Viedma,AR,2022-01-30 18:22:25,-40.8135,-62.9967,61.09,48,65,17.56,broken clouds
150,Kamenka,RU,2022-01-30 18:22:26,51.3223,42.7678,23.76,93,100,13.06,overcast clouds
151,A Coruna,ES,2022-01-30 18:22:26,43.3713,-8.396,57.65,75,0,1.99,clear sky
152,Maine-Soroa,NE,2022-01-30 18:22:27,13.2114,12.0241,70.32,14,24,9.98,few clouds
153,Pasuruan,ID,2022-01-30 18:22:28,-7.6453,112.9075,76.89,89,100,3.94,overcast clouds
154,Mae Hong Son,TH,2022-01-30 18:22:29,19.3003,97.9685,57.72,57,1,1.21,clear sky
155,Svetlaya,RU,2022-01-30 18:22:29,46.5389,138.3297,-0.54,79,11,9.46,few clouds
156,Yinchuan,CN,2022-01-30 18:22:30,38.4681,106.2731,17.92,28,0,6.96,clear sky
157,Ucluelet,CA,2022-01-30 18:22:31,48.9329,-125.5528,48.09,94,100,5.01,light rain
158,Vangaindrano,MG,2022-01-30 18:22:32,-23.35,47.6,74.08,81,1,4.85,clear sky
159,Esterhazy,CA,2022-01-30 18:19:10,50.65,-102.0843,22.05,91,87,6.13,overcast clouds
160,Tiarei,PF,2022-01-30 18:22:33,-17.5333,-149.3333,75.22,75,80,10.02,broken clouds
161,Acapulco,MX,2022-01-30 18:20:56,16.8634,-99.8901,84.02,70,0,6.91,clear sky
162,Mana,GF,2022-01-30 18:22:34,5.6592,-53.7767,82.81,67,44,11.14,scattered clouds
163,Zvishavane,ZW,2022-01-30 18:22:35,-20.3267,30.0665,68.68,84,43,5.39,scattered clouds
164,Crixas,BR,2022-01-30 18:22:35,-14.5489,-49.9692,75.07,85,100,6.11,overcast clouds
165,Tomatlan,MX,2022-01-30 18:22:36,19.9333,-105.25,86.16,35,2,6.22,clear sky
166,Sitka,US,2022-01-30 18:22:37,57.0531,-135.33,37.29,70,100,10.36,overcast clouds
167,Hong Gai,VN,2022-01-30 18:22:37,20.956,107.0946,55.31,89,100,6.73,overcast clouds
168,Denpasar,ID,2022-01-30 18:18:47,-8.65,115.2167,80.26,88,40,3.44,scattered clouds
169,Kerouane,GN,2022-01-30 18:22:38,9.2667,-9.0167,91.24,10,6,6.73,clear sky
170,Mar Del Plata,AR,2022-01-30 18:22:39,-38.0023,-57.5575,86.02,55,40,18.99,scattered clouds
171,Trairi,BR,2022-01-30 18:22:40,-3.2778,-39.2689,78.3,85,100,7.16,overcast clouds
172,Dudinka,RU,2022-01-30 18:22:41,69.4058,86.1778,-12.98,98,89,8.72,overcast clouds
173,Bulungu,CD,2022-01-30 18:22:41,-4.55,18.6,77.65,67,94,2.46,overcast clouds
174,Asyut,EG,2022-01-30 18:22:42,27.181,31.1837,54.54,39,11,6.44,few clouds
175,Inhumas,BR,2022-01-30 18:22:43,-16.3578,-49.4961,82.13,91,100,9.26,overcast clouds
176,Zhaoyuan,CN,2022-01-30 18:22:43,37.3592,120.3964,28.78,50,6,7.83,clear sky
177,Fare,PF,2022-01-30 18:22:44,-16.7,-151.0167,80.02,73,39,8.88,light rain
178,Kodiak,US,2022-01-30 18:21:40,57.79,-152.4072,24.31,68,20,13.8,few clouds
179,Krasnoselkup,RU,2022-01-30 18:22:46,65.7,82.4667,-6.23,100,96,8.03,overcast clouds
180,Atuona,PF,2022-01-30 18:22:46,-9.8,-139.0333,77.22,79,10,13.2,light rain
181,Adrar,MR,2022-01-30 18:22:47,20.5022,-10.0711,82.49,10,100,10.87,overcast clouds
182,Clyde River,CA,2022-01-30 18:22:48,70.4692,-68.5914,-16.37,69,75,2.3,snow
183,Saskylakh,RU,2022-01-30 18:22:48,71.9167,114.0833,-19.21,100,100,2.86,overcast clouds
184,Laguna,US,2022-01-30 18:22:49,38.421,-121.4238,59.65,70,0,1.99,clear sky
185,Krasnogorsk,RU,2022-01-30 18:22:50,55.8225,37.3181,26.65,93,100,13.42,snow
186,Riyadh,SA,2022-01-30 18:22:50,24.6877,46.7219,60.94,37,0,12.21,clear sky
187,Sur,OM,2022-01-30 18:22:51,22.5667,59.5289,72.28,67,2,1.3,clear sky
188,Bandarbeyla,SO,2022-01-30 18:22:52,9.4942,50.8122,76.05,73,56,15.95,broken clouds
189,Byron Bay,AU,2022-01-30 18:21:48,-28.65,153.6167,73.87,89,89,7.09,light rain
190,Missoula,US,2022-01-30 18:22:53,47.0166,-113.8009,31.53,70,93,5.08,overcast clouds
191,Pointe-Noire,CG,2022-01-30 18:22:54,-4.7761,11.8635,80.67,89,20,5.75,few clouds
192,Faanui,PF,2022-01-30 18:22:55,-16.4833,-151.75,79.77,73,68,6.87,light rain
193,Porto Novo,BJ,2022-01-30 18:22:55,6.4965,2.6036,84.02,54,79,6.6,broken clouds
194,Chissamba,AO,2022-01-30 18:22:56,-12.1667,17.3333,64.45,89,98,5.14,overcast clouds
195,Cabo San Lucas,MX,2022-01-30 18:19:14,22.8909,-109.9124,78.51,67,20,6.91,few clouds
196,Bedford,GB,2022-01-30 18:21:52,52.1346,-0.4663,44.74,72,0,16.11,clear sky
197,Srednekolymsk,RU,2022-01-30 18:22:58,67.45,153.6833,-22.88,99,100,4.79,overcast clouds
198,Perry,US,2022-01-30 18:22:59,37.2506,-83.1999,42.94,50,95,12.01,overcast clouds
199,Naron,ES,2022-01-30 18:19:06,43.5167,-8.1528,54.01,77,20,4.38,few clouds
200,Antalaha,MG,2022-01-30 18:23:00,-14.9003,50.2788,77.11,86,88,9.78,overcast clouds
